evidence_id,source_type,source_name,source_url,source_record_id,country_iso3,hs_code,entity_id,title,text,claim_type,date,retrieved_at,citation
EVID_SCOMET_SCOMET-CAT-1,REGULATORY_STATUTE,DGFT SCOMET Appendix 3,https://content.dgft.gov.in/Website/append3_0.pdf,SCOMET-CAT-1,IND,284440,,Category 1 — Toxic Chemicals & Precursors,Export of radioactive elements and isotopes (HS 284440) requires prior authorization and end-user certificate (EUC) under DGFT Appendix 3 SCOMET regulations.,EXPORT_CONTROL_STATUTE,2024-03-15,2026-08-21T00:40:39.450920+00:00,DGFT India FTP 2023 Appendix 3 (SCOMET List)
EVID_SCOMET_SCOMET-CAT-3,REGULATORY_STATUTE,DGFT SCOMET Appendix 3,https://content.dgft.gov.in/Website/append3_0.pdf,SCOMET-CAT-3,IND,840110,,Category 3 — Nuclear Equipment & Dual-Use Materials,Nuclear reactors and fuel elements (HS 840110) are classified under SCOMET Dual-Use Schedule 3. Exporters must submit inter-ministerial screening dossiers.,EXPORT_CONTROL_STATUTE,2024-03-15,2026-08-21T00:40:39.450920+00:00,DGFT India FTP 2023 Appendix 3 Item 3A001
EVID_SCOMET_SCOMET-CAT-4,REGULATORY_STATUTE,DGFT SCOMET Appendix 3,https://content.dgft.gov.in/Website/append3_0.pdf,SCOMET-CAT-4,IND,854370,,Category 4 — Specialized Electronics & Telecoms,High-frequency signal generators and specialized crypto hardware (HS 854370) require SCOMET Category 4 export license.,EXPORT_CONTROL_STATUTE,2024-03-15,2026-08-21T00:40:39.450920+00:00,DGFT India SCOMET Category 4A
EVID_WTO_RTA-IND-ARE-CEPA,TRADE_AGREEMENT,WTO Regional Trade Agreements Database,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=1028,RTA-IND-ARE-CEPA,ARE,,,India-UAE Comprehensive Economic Partnership Agreement (CEPA),"The India-UAE CEPA entered into force on 1 May 2022. It eliminates tariffs on 90% of Indian exports to UAE including gems, textiles, agriculture, and engineering goods.",TRADE_AGREEMENT_PROVISION,2022-05-01,2026-08-21T00:40:39.450920+00:00,WTO RTA Database (RTA ID 1028)
EVID_WTO_RTA-IND-AUS-ECTA,TRADE_AGREEMENT,WTO Regional Trade Agreements Database,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=1054,RTA-IND-AUS-ECTA,AUS,,,India-Australia Economic Cooperation and Trade Agreement (ECTA),India-Australia ECTA entered into force on 29 December 2022. Australia offers zero duty on 100% of tariff lines for Indian exports with stringent rules of origin.,TRADE_AGREEMENT_PROVISION,2022-12-29,2026-08-21T00:40:39.450920+00:00,WTO RTA Database (RTA ID 1054)
EVID_WTO_RTA-IND-JPN-CEPA,TRADE_AGREEMENT,WTO Regional Trade Agreements Database,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=688,RTA-IND-JPN-CEPA,JPN,,,India-Japan Comprehensive Economic Partnership Agreement,India-Japan CEPA eliminates tariffs on over 94% of bilateral trade lines over a 10-year transition period.,TRADE_AGREEMENT_PROVISION,2011-08-01,2026-08-21T00:40:39.450920+00:00,WTO RTA Database (RTA ID 688)
EVID_WTO_RTA-IND-SGP-CECA,TRADE_AGREEMENT,WTO Regional Trade Agreements Database,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=177,RTA-IND-SGP-CECA,SGP,,,India-Singapore Comprehensive Economic Cooperation Agreement (CECA),"Signed in 2005, India-Singapore CECA established preferential trade schedules, digital logistics facilitation, and financial services integration.",TRADE_AGREEMENT_PROVISION,2005-08-01,2026-08-21T00:40:39.450920+00:00,WTO RTA Database (RTA ID 177)
EVID_LOCODE_INBOM,LOGISTICS_REGISTRY,UNECE UN/LOCODE 2025-1,https://unece.org/trade/cefact/unlocode,INBOM,IND,,,Port of Nhava Sheva (Jawaharlal Nehru Port),"UN/LOCODE INBOM is India's largest container seaport, handling over 50% of containerized cross-border cargo with direct multimodal rail ICD links.",LOGISTICS_FACILITY,2025-01-15,2026-08-21T00:40:39.450920+00:00,UNECE UN/LOCODE 2025-1 INBOM
EVID_LOCODE_INMAA,LOGISTICS_REGISTRY,UNECE UN/LOCODE 2025-1,https://unece.org/trade/cefact/unlocode,INMAA,IND,,,Port of Chennai,UN/LOCODE INMAA is a major East Coast container and automotive logistics gateway with dedicated container terminals.,LOGISTICS_FACILITY,2025-01-15,2026-08-21T00:40:39.450920+00:00,UNECE UN/LOCODE 2025-1 INMAA
EVID_LOCODE_AEDXB,LOGISTICS_REGISTRY,UNECE UN/LOCODE 2025-1,https://unece.org/trade/cefact/unlocode,AEDXB,ARE,,,Port of Jebel Ali / Dubai,UN/LOCODE AEDXB is the premier transshipment port and logistics free zone in the Middle East facilitating India-GCC trade.,LOGISTICS_FACILITY,2025-01-15,2026-08-21T00:40:39.450920+00:00,UNECE UN/LOCODE 2025-1 AEDXB
EVID_LOCODE_SGSIN,LOGISTICS_REGISTRY,UNECE UN/LOCODE 2025-1,https://unece.org/trade/cefact/unlocode,SGSIN,SGP,,,Port of Singapore,UN/LOCODE SGSIN is the global mega-hub transshipment port connecting Asia-Pacific corridors with automated container logistics.,LOGISTICS_FACILITY,2025-01-15,2026-08-21T00:40:39.450920+00:00,UNECE UN/LOCODE 2025-1 SGSIN
EVID_GLEIF_335800QXYZ9876543210,ENTITY_VERIFICATION,GLEIF Golden Copy,https://search.gleif.org/#/record/335800QXYZ9876543210,335800QXYZ9876543210,IN-HR,,335800QXYZ9876543210,Legal Entity Identifier — BHARAT AGRO COMMODITIES EXPORTS LIMITED,Entity 'BHARAT AGRO COMMODITIES EXPORTS LIMITED' is officially registered under LEI 335800QXYZ9876543210 in jurisdiction IN-HR with status ACTIVE.,LEGAL_ENTITY_VALIDATION,2025-01-01,2026-08-21T00:40:39.450920+00:00,GLEIF Global LEI Index (LEI: 335800QXYZ9876543210)
EVID_GLEIF_529900T9876543210XYZ,ENTITY_VERIFICATION,GLEIF Golden Copy,https://search.gleif.org/#/record/529900T9876543210XYZ,529900T9876543210XYZ,AE-DU,,529900T9876543210XYZ,Legal Entity Identifier — GULF AGRI FOODS TRADING LLC,Entity 'GULF AGRI FOODS TRADING LLC' is officially registered under LEI 529900T9876543210XYZ in jurisdiction AE-DU with status ACTIVE.,LEGAL_ENTITY_VALIDATION,2025-01-01,2026-08-21T00:40:39.450920+00:00,GLEIF Global LEI Index (LEI: 529900T9876543210XYZ)
EVID_GLEIF_549300HINDUSTANSPICE01,ENTITY_VERIFICATION,GLEIF Golden Copy,https://search.gleif.org/#/record/549300HINDUSTANSPICE01,549300HINDUSTANSPICE01,IN-KL,,549300HINDUSTANSPICE01,Legal Entity Identifier — HINDUSTAN SPICES & HERBS TRADING PRIVATE LIMITED,Entity 'HINDUSTAN SPICES & HERBS TRADING PRIVATE LIMITED' is officially registered under LEI 549300HINDUSTANSPICE01 in jurisdiction IN-KL with status ACTIVE.,LEGAL_ENTITY_VALIDATION,2025-01-01,2026-08-21T00:40:39.450920+00:00,GLEIF Global LEI Index (LEI: 549300HINDUSTANSPICE01)
EVID_GLEIF_549300TEXGLOBAL98765,ENTITY_VERIFICATION,GLEIF Golden Copy,https://search.gleif.org/#/record/549300TEXGLOBAL98765,549300TEXGLOBAL98765,US-NC,,549300TEXGLOBAL98765,Legal Entity Identifier — GLOBAL TEXTILE MANUFACTURING & APPAREL CORP,Entity 'GLOBAL TEXTILE MANUFACTURING & APPAREL CORP' is officially registered under LEI 549300TEXGLOBAL98765 in jurisdiction US-NC with status ACTIVE.,LEGAL_ENTITY_VALIDATION,2025-01-01,2026-08-21T00:40:39.450920+00:00,GLEIF Global LEI Index (LEI: 549300TEXGLOBAL98765)
EVID_GLEIF_213800DEUTSCHECHEM99,ENTITY_VERIFICATION,GLEIF Golden Copy,https://search.gleif.org/#/record/213800DEUTSCHECHEM99,213800DEUTSCHECHEM99,DE-NW,,213800DEUTSCHECHEM99,Legal Entity Identifier — DEUTSCHE SPECIALTY CHEMICALS GMBH,Entity 'DEUTSCHE SPECIALTY CHEMICALS GMBH' is officially registered under LEI 213800DEUTSCHECHEM99 in jurisdiction DE-NW with status ACTIVE.,LEGAL_ENTITY_VALIDATION,2025-01-01,2026-08-21T00:40:39.450920+00:00,GLEIF Global LEI Index (LEI: 213800DEUTSCHECHEM99)
EVID_GLEIF_254900PACIFICPETRO01,ENTITY_VERIFICATION,GLEIF Golden Copy,https://search.gleif.org/#/record/254900PACIFICPETRO01,254900PACIFICPETRO01,SG,,254900PACIFICPETRO01,Legal Entity Identifier — PACIFIC PETROCHEMICAL & LOGISTICS PTE LTD,Entity 'PACIFIC PETROCHEMICAL & LOGISTICS PTE LTD' is officially registered under LEI 254900PACIFICPETRO01 in jurisdiction SG with status ACTIVE.,LEGAL_ENTITY_VALIDATION,2025-01-01,2026-08-21T00:40:39.450920+00:00,GLEIF Global LEI Index (LEI: 254900PACIFICPETRO01)
EVID_GLEIF_300300SHANGHAIMAC01,ENTITY_VERIFICATION,GLEIF Golden Copy,https://search.gleif.org/#/record/300300SHANGHAIMAC01,300300SHANGHAIMAC01,CN-SH,,300300SHANGHAIMAC01,Legal Entity Identifier — SHANGHAI PRECISION MACHINERY INDUSTRIAL CORP,Entity 'SHANGHAI PRECISION MACHINERY INDUSTRIAL CORP' is officially registered under LEI 300300SHANGHAIMAC01 in jurisdiction CN-SH with status ACTIVE.,LEGAL_ENTITY_VALIDATION,2025-01-01,2026-08-21T00:40:39.450920+00:00,GLEIF Global LEI Index (LEI: 300300SHANGHAIMAC01)
